# Version 1.00
#
freq[Hz],re:Trc1_S11[U],im:Trc1_S11[U],Trc2_S12[dB],Trc3_S21[dB],Trc4_S11[dB],Trc5_b2d1/a1d1sam[dB],Trc6_S12[dB],Trc7_S22[dB],
9.500000000000000E+009,-6.459961261977636E-002,7.532097734842934E-003,-1.846364182104609E+001,4.837329773866036E+001,-2.373675808915944E+001,5.860918825061825E+001,-1.846364182104609E+001,-2.195735536147427E+001,
9.501221299462627E+009,-6.450350615760163E-002,1.121641465556929E-002,-4.385930799455243E+001,-6.438490568968484E+001,-2.367896131987410E+001,-3.648431149405444E+001,-4.385930799455243E+001,-1.939464576779621E+001,
9.502442598925257E+009,-6.473258742621378E-002,1.423318161787862E-002,-2.855312821772008E+001,-2.413369965718099E+001,-2.357249539664045E+001,-1.687165075443003E+001,-2.855312821772008E+001,-1.631774154508383E+001,
9.503663898387884E+009,-6.424229896821654E-002,1.776064286209837E-002,-2.631037385913334E+001,-2.190819640366143E+001,-2.352371252419981E+001,-1.717042925784846E+001,-2.631037385913334E+001,-1.130959829542286E+001,
9.504885197850514E+009,-6.392541905349400E-002,2.159529483560693E-002,-2.991427962714177E+001,-3.994488475628154E+001,-2.341719904948638E+001,-1.597889989160159E+001,-2.991427962714177E+001,-3.453015068510187E+001,
9.506106497313141E+009,-6.338281214190593E-002,2.485809505258564E-002,-3.908541516733732E+001,-2.209183200794264E+001,-2.333921612646877E+001,-1.609856306108976E+001,-3.908541516733732E+001,-1.225578092863058E+001,
9.507327796775770E+009,-6.209539097294504E-002,2.736553262363089E-002,-3.904916948038578E+001,-2.075451116704773E+001,-2.336797720198403E+001,-1.474978648683331E+001,-3.904916948038578E+001,-2.798099272473959E+001,
9.508549096238398E+009,-6.133293298198298E-002,3.123202519800342E-002,-4.077333717974050E+001,-2.929294226586793E+001,-2.324481207017263E+001,-1.384184790762759E+001,-4.077333717974050E+001,-1.574560730559080E+001,
9.509770395701025E+009,-6.030781550429323E-002,3.378199462845254E-002,-3.062894365555598E+001,-2.777165371082478E+001,-2.320730606912414E+001,-1.310112300060371E+001,-3.062894365555598E+001,-1.198488139475235E+001,
9.510991695163654E+009,-5.914110775588787E-002,3.692937247460700E-002,-3.790330100578874E+001,-3.052847278991607E+001,-2.313234250042957E+001,-1.418672485071113E+001,-3.790330100578874E+001,-1.129188884012754E+001,
9.512212994626282E+009,-5.764720449383323E-002,4.026909815177598E-002,-3.950848735428647E+001,-3.236001766383183E+001,-2.305851229725540E+001,-1.266782945534217E+001,-3.950848735428647E+001,-2.180265982696025E+001,
9.513434294088911E+009,-5.559949917057247E-002,4.346846194409860E-002,-3.092557206306160E+001,-2.467760220540961E+001,-2.302699894649570E+001,-1.318343497016398E+001,-3.092557206306160E+001,-9.638236994550779E+000,
9.514655593551539E+009,-5.400530302872579E-002,4.555658828529901E-002,-5.066878122738276E+001,-2.223582738232455E+001,-2.301727555530532E+001,-1.386883288793535E+001,-5.066878122738276E+001,-1.691897835976875E+001,
9.515876893014168E+009,-5.155755943108263E-002,4.841790180876086E-002,-5.224645454403123E+001,-2.452357913683084E+001,-2.300815060057451E+001,-1.644447668834677E+001,-5.224645454403123E+001,-1.355661676021597E+001,
9.517098192476795E+009,-4.917264247754565E-002,5.130250276336835E-002,-4.351745338589183E+001,-3.293531857852366E+001,-2.296717603871242E+001,-1.582188614243563E+001,-4.351745338589183E+001,-1.447452181719417E+001,
9.518319491939423E+009,-4.694715635049717E-002,5.331978979723578E-002,-5.824217365319620E+001,-2.742388546755273E+001,-2.296963642788372E+001,-1.592260181541295E+001,-5.824217365319620E+001,-1.663074515761078E+001,
9.519540791402052E+009,-4.468316451330095E-002,5.577912458490901E-002,-4.843802136443136E+001,-3.852294093474741E+001,-2.291757959748768E+001,-1.628767700966616E+001,-4.843802136443136E+001,-1.970655296795108E+001,
9.520762090864679E+009,-4.190119946041118E-002,5.752861638774350E-002,-5.224786127656759E+001,-3.514226095895595E+001,-2.295398924459521E+001,-1.972752360878818E+001,-5.224786127656759E+001,-1.683480982067375E+001,
9.521983390327309E+009,-3.953974872041496E-002,6.004843889492316E-002,-4.617974995281858E+001,-3.724250684711973E+001,-2.286576097863099E+001,-2.171636435524127E+001,-4.617974995281858E+001,-2.179364380356963E+001,
9.523204689789936E+009,-3.590672735069326E-002,6.187796769388970E-002,-6.003105182179407E+001,-2.698205872258703E+001,-2.290884787820467E+001,-2.100566972493063E+001,-6.003105182179407E+001,-2.929886171161820E+001,
9.524425989252565E+009,-3.345799650509887E-002,6.330182530850954E-002,-4.705062716706530E+001,-3.133634794737326E+001,-2.290174072500184E+001,-1.868439250544020E+001,-4.705062716706530E+001,-2.411848073792329E+001,
9.525647288715193E+009,-3.025059929875789E-002,6.475155219478161E-002,-7.405030044524956E+001,-2.182825223386936E+001,-2.291760821740111E+001,-1.884300898347980E+001,-7.405030044524956E+001,-2.266789388606569E+001,
9.526868588177822E+009,-2.691569534204487E-002,6.633321491392184E-002,-6.678270806971220E+001,-2.964867755082885E+001,-2.290344260326933E+001,-1.984546282332536E+001,-6.678270806971220E+001,-3.189662588365319E+001,
9.528089887640450E+009,-2.425747581842128E-002,6.749527653504395E-002,-5.093791919025858E+001,-2.506859001348556E+001,-2.288695875113260E+001,-1.901375680067072E+001,-5.093791919025858E+001,-2.137721210111497E+001,
9.529311187103077E+009,-2.104366970724728E-002,6.800642347083451E-002,-4.728678310122864E+001,-4.360830028664182E+001,-2.295188274052803E+001,-2.150605209690731E+001,-4.728678310122864E+001,-1.744975448674998E+001,
9.530532486565706E+009,-1.739570362179882E-002,6.904499854535762E-002,-6.442003327222315E+001,-3.102908005119534E+001,-2.295007260203037E+001,-2.084450199839717E+001,-6.442003327222315E+001,-1.817947832722408E+001,
9.531753786028334E+009,-1.405236599661039E-002,6.917793573555753E-002,-5.545876209238152E+001,-2.713447893376740E+001,-2.302504251099330E+001,-2.217843446497847E+001,-5.545876209238152E+001,-1.781470930121256E+001,
9.532975085490963E+009,-1.073701833222734E-002,6.965930474977965E-002,-6.504902605998659E+001,-3.104987992563473E+001,-2.303844437983436E+001,-1.959610251202175E+001,-6.504902605998659E+001,-2.029704683290307E+001,
