# Version 1.00
#
power[dBm],re:Trc1_S11[U],im:Trc1_S11[U],Trc2_S12[dB],Trc3_S21[dB],Trc4_S11[dB],Trc5_b2d1/a1d1sam[dB],Trc6_S12[dB],Trc7_S22[dB],
-4.000000000000000E+001,6.909505430871164E-002,-4.308442466134920E-003,-5.834102208869576E+001,-1.216255619694792E+001,-2.319420732977423E+001,-2.207617993231862E+000,-5.834102208869576E+001,-2.220240171747717E+001,
-3.998045920859795E+001,6.666862759545081E-002,-5.334095745296477E-004,-6.544539620181098E+001,-2.409027107417435E+001,-2.352129169601814E+001,-2.319050586710280E+000,-6.544539620181098E+001,-3.219189457950797E+001,
-3.996091841719590E+001,6.463146295876422E-002,3.363569338239811E-004,-6.710949504617582E+001,-1.253410342079736E+001,-2.379100264804658E+001,-2.554857876540599E+000,-6.710949504617582E+001,-2.645520533967546E+001,
-3.994137762579385E+001,6.720049326285908E-002,2.567772388297604E-004,-7.160372216726145E+001,-8.472865190443818E+000,-2.345248737404581E+001,-2.106179404471926E+000,-7.160372216726145E+001,-3.190380711973528E+001,
-3.992183683439179E+001,6.488738661171883E-002,-2.561551168670149E-003,-5.948507065303914E+001,-1.255686924096679E+001,-2.375003146133593E+001,-2.218355616982825E+000,-5.948507065303914E+001,-2.412113583442546E+001,
-3.990229604298974E+001,6.288790819561803E-002,-1.791790964967253E-003,-5.851007243189344E+001,-1.313376608212704E+001,-2.402513291229904E+001,-2.848902304890500E+000,-5.851007243189344E+001,-2.412103373742437E+001,
-3.988275525158769E+001,6.185448853189834E-002,-1.061024465757159E-003,-5.603736223350036E+001,-1.800894746620219E+001,-2.417129789802289E+001,-1.996626339317895E+000,-5.603736223350036E+001,-3.061971323911397E+001,
-3.986321446018564E+001,7.035004943256683E-002,1.430022510760374E-003,-6.542476097101454E+001,-1.182452540273543E+001,-2.305291774110437E+001,-2.231801946990040E+000,-6.542476097101454E+001,-3.719473513541918E+001,
-3.984367366878359E+001,6.280586014853057E-002,4.121637329261184E-003,-6.169642356417121E+001,-1.880949868835459E+001,-2.402133327577539E+001,-2.276712297496346E+000,-6.169642356417121E+001,-3.050525596603900E+001,
-3.982413287738154E+001,6.577056093517884E-002,1.074114104231093E-003,-6.046663249604983E+001,-6.380971268358832E+000,-2.363821093520809E+001,-1.898422255493076E+000,-6.046663249604983E+001,-2.467148073136627E+001,
